company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
09767715,MELBOURNE BUILDERS LIMITED,CR0 2LX,"6TH FLOOR, AMP HOUSE / DINGWALL ROAD / CROYDON",41100 - Development of building projects,MICRO ENTITY,08/09/2015,small
15402399,FRENSHAM ELECTRICAL SERVICES LTD,BR7 5AN,10A HIGH STREET / CHISLEHURST,43210 - Electrical installation,MICRO ENTITY,10/01/2024,small
16104179,CHRUST SOLUTIONS LIMITED,CM20 1YS,"C/O AACSL ACCOUNTANTS LIMITED 1ST FLOOR, NORTH WESTGATE HOUSE / HARLOW / ESSEX",62020 - Information technology consultancy activities,MICRO ENTITY,27/11/2024,small
10352835,ASKANA SERVICE LTD,E11 4DQ,2 KIMBERLEY ROAD / LONDON,70229 - Management consultancy activities other than financial management,MICRO ENTITY,31/08/2016,small
14190714,HAUS OF HEALTH & AESTHETICS LIMITED,SM6 7AH,ROOM 26 - SBC HOUSE / RESTMOR WAY / WALLINGTON,86900 - Other human health activities,MICRO ENTITY,23/06/2022,small
SC842248,AGRICOLA CONSULTING LTD,AB13 0AY,1 AGRICOLA CRESCENT / MILLTIMBER,42990 - Construction of other civil engineering projects n.e.c.,MICRO ENTITY,21/03/2025,small
14021187,GSW ENTERPRISE LTD,WR11 8RE,SPARROWS COTTAGE LAURELS ROAD / OFFENHAM / EVESHAM,47910 - Retail sale via mail order houses or via Internet,MICRO ENTITY,03/04/2022,small
11062087,COTSWOLD MEDIA MANAGEMENT LIMITED,SN15 5NH,THE MANOR HOUSE THE OFFICE / LOWER COMMON / KINGTON LANGLEY,63990 - Other information service activities n.e.c.,MICRO ENTITY,14/11/2017,small
13144569,DIVERSE DESIGN GROUP LTD,NP10 9NX,2 RIVER REACH / NEWPORT,99999 - Dormant Company,MICRO ENTITY,19/01/2021,small
14460922,GRAYBURN GROUP LTD,HU7 3GQ,11 HALECROFT PARK / KINGSWOOD / HULL,"47240 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",MICRO ENTITY,03/11/2022,small
15344663,BAJA FOODS LIMITED,E13 8QQ,64C PRINCE REGENT LANE / LONDON,56102 - Unlicensed restaurants and cafes,MICRO ENTITY,12/12/2023,small
16055792,LOWESTOFT CAR REPAIRS LTD,NR33 9ED,3 OAKWOOD ROAD / LOWESTOFT,45200 - Maintenance and repair of motor vehicles,MICRO ENTITY,01/11/2024,small
06696489,NYNA CONSULTING LIMITED,N16 0EH,48 DEFOE ROAD / LONDON,70229 - Management consultancy activities other than financial management,MICRO ENTITY,12/09/2008,small
11607295,ROBERTS & GRAY LIMITED,LE12 7EY,16 CROMWELL ROAD / MOUNTSORREL / LOUGHBOROUGH,96020 - Hairdressing and other beauty treatment,MICRO ENTITY,05/10/2018,small
13174777,OXFORD MED CHEM LTD,OX3 9FN,94 LONDON ROAD / UNIT 135 / OXFORD,70229 - Management consultancy activities other than financial management,MICRO ENTITY,02/02/2021,small
13705732,CRAIG WITHEFORD LTD,SN8 3TY,20 MARTINGALE ROAD / BURBAGE / MARLBOROUGH,93290 - Other amusement and recreation activities n.e.c.,MICRO ENTITY,26/10/2021,small
04590760,FELL PROMOTIONS LIMITED,HD4 9BH,UNIT 9 PARK VALLEY MILLS / MELTHAM ROAD / HUDDERSFIELD,18129 - Printing n.e.c.,MICRO ENTITY,14/11/2002,small
10861906,ALEXANDER CRAIG CONSULTING LIMITED,UB10 8HW,11 ST. GEORGES DRIVE / ICKENHAM / UXBRIDGE,68320 - Management of real estate on a fee or contract basis,MICRO ENTITY,12/07/2017,small
